annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	2	0.00294550810014728	0.309717190722802	0.107282427425526
UTR5	68533	0.00279438366924883	0	0	0	0.274143331983563
downstream	277044	0.0112962693777213	1	0.00147275405007364	0.130375259373526	0.00929219427174984
exonic	264904	0.0108012696295025	1	0.00147275405007364	0.136350086664902	0.0134440381860304
intergenic	11376644	0.463874457625636	197	0.290132547864507	0.625454889992357	3.08872598921021e-20
intronic	8979212	0.366120896145261	477	0.702503681885125	1.91877516219779	1.14904780849984e-70
ncRNA_exonic	257913	0.0105162166443461	0	0	0	0.00186465799819531
ncRNA_intronic	2807030	0.114454624649316	1	0.00147275405007364	0.0128675800963578	2.06090311523551e-34
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	0	0	0	0.00183642604690326
