Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Cancer_gene_neighborhoods	MORF_DEAF1	52	4	4.447771982670553e-05	0.012487109176495053	FH:ATP5G3:XPO7:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_DEAF1
Cancer_gene_neighborhoods	MORF_PRKDC	178	6	5.8487630803255514e-05	0.012487109176495053	FH:ATP5G3:SEC63:XPO7:BMI1:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_PRKDC
Cancer_gene_neighborhoods	MORF_GNB1	283	7	9.852212097727033e-05	0.01402298188576481	FH:ATP5G3:SEC63:XPO7:BMI1:GTF2A2:UQCRFS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_GNB1
Cancer_gene_neighborhoods	MORF_RFC4	141	5	0.00019641869347358315	0.0176718838756568	FH:ATP5G3:SEC63:XPO7:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_RFC4
Cancer_gene_neighborhoods	MORF_BMI1	77	4	0.0002069307245393068	0.0176718838756568	SEC63:XPO7:BMI1:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_BMI1
Cancer_gene_neighborhoods	MORF_PPP1CC	154	5	0.0002955909760311848	0.021036224460885985	FH:ATP5G3:SEC63:XPO7:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_PPP1CC
Cancer_gene_neighborhoods	MORF_PAPSS1	94	4	0.00044412992363063213	0.027091925341468558	SEC63:XPO7:BMI1:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_PAPSS1
Cancer_gene_neighborhoods	MORF_RFC1	104	4	0.0006507773294075255	0.03473523995712668	SEC63:INTS10:BMI1:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_RFC1
Cancer_gene_neighborhoods	MORF_DNMT1	109	4	0.0007761932041441946	0.03682605535217457	FH:ATP5G3:XPO7:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_DNMT1
Wikipathways	WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES	17	3	3.38776748794848e-05	0.024832335686662356	LPL:LIPC:ANXA2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES
Computational_gene_sets	MORF_DEAF1	52	4	4.447771982670553e-05	0.025091193614596614	FH:ATP5G3:XPO7:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_DEAF1
Computational_gene_sets	MORF_PRKDC	178	6	5.8487630803255514e-05	0.025091193614596614	FH:ATP5G3:SEC63:XPO7:BMI1:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_PRKDC
Computational_gene_sets	MORF_GNB1	283	7	9.852212097727033e-05	0.028177326599499314	FH:ATP5G3:SEC63:XPO7:BMI1:GTF2A2:UQCRFS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_GNB1
Computational_gene_sets	MORF_RFC4	141	5	0.00019641869347358315	0.03550931233094504	FH:ATP5G3:SEC63:XPO7:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_RFC4
Computational_gene_sets	MORF_BMI1	77	4	0.0002069307245393068	0.03550931233094504	SEC63:XPO7:BMI1:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_BMI1
Computational_gene_sets	MORF_PPP1CC	154	5	0.0002955909760311848	0.042269509572459424	FH:ATP5G3:SEC63:XPO7:GTF2A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_PPP1CC
GWAScatalog	Persistent hepatitis B virus infection	7	4	6.5459872757769195e-09	2.8965993695312868e-05	CSGALNACT1:INTS10:LPL:LZTS1	
GWAScatalog	Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes	26	4	2.6469932041656218e-06	0.004088000152485896	PDSS2:PSD3:MYO1E:PTPRM	
GWAScatalog	Non-HDL cholesterol levels	8	3	2.8594114288748153e-06	0.004088000152485896	INTS10:LPL:PLXDC2	
GWAScatalog	Metabolite levels	1249	17	3.6953673694787755e-06	0.004088000152485896	FH:KMO:EVX2:PDSS2:SESN1:INTS10:LPL:DOK2:XPO7:AQP9:LIPC:ADAM10:RNF111:CCNB2:MYO1E:FAM81A:POP4	
GWAScatalog	Urinary albumin excretion rate in type 1 diabetes	3	2	4.2029709503312506e-05	0.03719629291043157	PSD3:SH2D4A	
Positional_gene_sets	chr1q43	29	10	6.54712421121338e-18	1.964137263364014e-15	CHRM3:CHRM3-AS1:RGS7:MIR3123:FH:KMO:OPN3:CHML:EXO1:PLD5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr1q43
Positional_gene_sets	chr2q31	97	13	4.5647358357212296e-17	6.847103753581844e-15	H3F3AP4:CHN1:ATP5G3:KIAA1715:EVX2:HOXD13:LINC01116:PDE11A:RBM45:OSBPL6:AC009948.5:PRKRA:DFNB59	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr2q31
