ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000230019	YWHAQP9	0.000462467803695261	0	0	0.00134059257227258	0.000837068464642783	0.00111271056301431	0.000202744686050235	0	0.000272449279584807	0.00148553563536834	0	0.001122318589233	0.00115512269953892	0.000294594388830224	0.00118305653117606	0.00108074983099193	0.000810442134245557	0	0.000249109006322937	0.000583647766562426	0.00162847379297435	0.000731435962156819	0.000953664900636023	0	0.000403849058430567	0.000416851203050071	0.0540336900947866	0	0	0.00332523046071294
ENSG00000232989	RP11-136B18.1	0.000630244876746384	0	0	0	0.00104242431908508	0.00143453761411893	0	0	0	0.000412179333446293	0	0.000732856730182105	0	0	0.00416045316061949	0	0.00126886107198858	0	0	0	0	0	0.00258207888430703	0	0	0	0.0133104569755852	0	0	0
ENSG00000234464	RP11-136B18.2	0.000104009870688864	0	0	0.0014999207268029	0	0.000840593254838817	0.000606408842312947	0	0.000716772280645891	0.00306020488335586	0	0.00106180839382402	0	0.000753015299846241	0.00110673915813076	0.00021273026051703	0	0.00174605824437776	0	0	0.0107662308720275	0.00178837313880432	0.000495686147229327	0	0.000906005017753109	0	0.995730787025844	0.000247222459151588	0	0
ENSG00000224783	MIPEPP2	0.000260907886934582	0	0	0.000181770281472208	0.000304555062280494	0.000444116898575821	0.000615231430384755	0	0.000275515249303072	0.000287221924773661	0	0.000657635138734429	0.000168195269276913	0	4.56072463698156e-05	0.000948237248853652	0.00104385247857975	0.000159346112843748	0.000194018468633146	0.00053935597049863	0.000208659098473662	0.000359899213733154	0.000333478428244167	8.96646527046541e-05	0.000142909206758766	0.000258286797622199	0.00427483754266432	6.99977929134559e-05	0	0.000378263461797831
ENSG00000259776	RP11-544D21.2	0.00108680791559388	0.00208545396894212	0.00219523154932124	0.00141699174090361	0.0017339842870371	0.0012371000760248	0.00126088994469959	0.00292768621215099	0.00112053212622426	0.00150924915451774	0	0.000429697354138214	0.00257480386542846	0.00257861261345741	0.0020024389015143	0.000830647788890918	0.00160839171769073	0.00314750822167644	0.00600426432785961	0.0021368506795919	0.00125658619245946	0.00538239174989984	0.00114041557717976	0.00132480687228506	0.00224051201965252	0.00416521042583205	0.799458613858895	0.00462989173443596	0.00415826325568475	0.0025682142504123
ENSG00000133019	CHRM3	0.311994888738209	0.281387260768062	2.93599039796316	0.0179215257574374	0.562588501001097	1.19365668552492	0.519397344226184	0.37544652653793	2.70187207729106	2.59423887567881	0.514114349450351	0.169949079531962	0.69754580368229	0.249153495164765	0.838773903640765	0.0311343647762539	0.294823548234774	1.81534178945174	2.25715708466939	0.657154716165331	0.96645445200735	2.45212701473313	0.758844602042845	1.31750249783828	0.530731696571017	2.64533123810993	0.934442096036215	1.45059123084657	1.24903530050628	0.43542477404494
ENSG00000233355	CHRM3-AS2	0.453629313530783	0.234540233689205	0.720902202426199	1.47328963338327	0.564726326533313	0.055389295335875	0.300263774108232	0.434542055900919	0.797889075419067	0.403864276196619	0.748986540272035	0.253069692122108	1.72094360907371	0.218914756071003	1.22563253310539	0.0292425754312066	0.226494578993163	1.16943063153541	0.134954960389563	0.200101329332538	0.651138179327236	0.435023293513018	0.0859711151461896	3.1023686852917	3.02143144362017	1.63736273678005	4.48678650392797	0.602783979279637	0.252780444357468	0.674796993468648
ENSG00000234601	CHRM3-AS1	0.0136722637518213	0.0171056113882435	0.210029781643276	0.00168302827874518	0.017450767860365	0.0173908113057627	0.0298324244815108	0.0190085834976081	0.135550335689684	0.141686560000648	0.0178943583222841	0.00719864152261576	0.746079292292455	0.0768472655113556	0.0430908300152051	0.00134067644489804	0.0203608394351893	0.19166374881337	0.270707564124155	0.0460269159325997	0.0729153776394066	0.303544235548899	0.0480877404825567	0.0612442206793741	0.019761939290864	0.215269921629578	0.178224857144492	0.112502914463171	0.0979691964557807	0.0384145401517741
ENSG00000231979	RP11-35L17.3	0.00208232292470249	0.000783810795384356	0.104463909806206	0.000864054975343916	0.003862350890567	0.0327525290922246	0.00375335443140503	0.0483221939772861	0.0690429359204047	0.0619661787445529	0.108500640932616	0.000250322085543304	0.436391405014401	0.0318350021027055	0.00894064072636402	0.000421983829163305	0.00168359731760134	0.0167159129569977	0.032856413405422	0.00509360859572709	0.00472165309289127	0.0281972062301806	0.0175683120140359	0.0238209637354246	0.00328877625010696	0.0836029231847338	0.0785949179424449	0.00770038212395592	0.006932175843668	0.0172112988199206
ENSG00000223694	ADH5P3	0.0411291423810201	0.024087412551842	0.0389191030630831	0.00887045597879881	0.0431325324470132	0.102739531620647	0.0269930037952842	0.0456227481680922	0.0542683804166416	0.0378922719883605	0.0371229923689886	0.0111844413344443	0.0253052967589348	0.0169289520791	0.025046873751278	0.0109824746772896	0.372060747557472	0.0624897591513053	0.00937034249612571	0.232804928778696	0.0340054807452256	0.0199140577808879	0.0340188324993918	0.0300761784254113	0.00939251371795687	0.0201622698071613	0.22904658875643	0.0255609558962465	0.0443679490863689	0.0288850859838113
