VARIABLE TYPE NGENES BETA BETA_STD SE P FULL_NAME
GOMF_STEROID_DEHYDROGENASE_A...2 SET 24 0.5358 0.020892 0.17643 0.0011972 GOMF_STEROID_DEHYDROGENASE_ACTIVITY_ACTING_ON_THE_CH_OH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR
GOBP_PROTEIN_FOLDING_IN_ENDO... SET 10 0.83864 0.021117 0.28913 0.0018657 GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM
GOMF_HISTONE_H3K9ME2_METHYLT... SET 7 0.88851 0.01872 0.3231 0.0029842 GOMF_HISTONE_H3K9ME2_METHYLTRANSFERASE_ACTIVITY
GOBP_CELLULAR_MACROMOLECULE_...2 SET 803 0.084869 0.018661 0.031132 0.0032088 GOBP_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS
GOBP_PROTEOLYSIS_INVOLVED_IN... SET 606 0.094716 0.018211 0.035031 0.0034324 GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
GOMF_MICROTUBULE_MOTOR_ACTIV... SET 68 0.28754 0.018846 0.10681 0.0035547 GOMF_MICROTUBULE_MOTOR_ACTIVITY
YU_MYC_TARGETS_DN SET 49 0.34347 0.019121 0.1326 0.0048016 YU_MYC_TARGETS_DN
GOCC_GROWTH_CONE_MEMBRANE SET 8 0.74618 0.016806 0.29868 0.0062463 GOCC_GROWTH_CONE_MEMBRANE
GOBP_REGULATION_OF_CHROMATIN...2 SET 38 0.35902 0.017607 0.14435 0.006444 GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION
GOBP_CELLULAR_RESPONSE_TO_CO...1 SET 8 0.60779 0.013689 0.24509 0.0065784 GOBP_CELLULAR_RESPONSE_TO_COCAINE
GOBP_NEGATIVE_REGULATION_OF_...520 SET 38 0.37434 0.018358 0.15379 0.0074709 GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
GOMF_HISTONE_H3K9_METHYLTRAN... SET 11 0.57374 0.015151 0.2391 0.0082131 GOMF_HISTONE_H3K9_METHYLTRANSFERASE_ACTIVITY
REACTOME_ACYL_CHAIN_REMODELL...4 SET 14 0.59197 0.017634 0.24759 0.0084093 REACTOME_ACYL_CHAIN_REMODELLING_OF_PI
GOBP_PRODUCTION_OF_MOLECULAR...2 SET 207 0.14954 0.017024 0.063033 0.0088436 GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
GOBP_ANDROGEN_METABOLIC_PROC... SET 25 0.39268 0.015626 0.16724 0.0094428 GOBP_ANDROGEN_METABOLIC_PROCESS
GOBP_ENDOPLASMIC_RETICULUM_T...3 SET 5 0.80043 0.014254 0.35278 0.011645 GOBP_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_FORMATION
GOBP_PROTEASOMAL_PROTEIN_CAT... SET 397 0.09634 0.015096 0.042799 0.012201 GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS
NELSON_RESPONSE_TO_ANDROGEN_...2 SET 76 0.22586 0.015646 0.10223 0.013586 NELSON_RESPONSE_TO_ANDROGEN_UP
ABE_VEGFA_TARGETS SET 15 0.47224 0.014561 0.21722 0.014863 ABE_VEGFA_TARGETS
GOMF_CARD_DOMAIN_BINDING SET 14 0.51072 0.015214 0.24013 0.016725 GOMF_CARD_DOMAIN_BINDING
GOMF_NUCLEAR_ANDROGEN_RECEPT... SET 21 0.43395 0.015829 0.20542 0.01733 GOMF_NUCLEAR_ANDROGEN_RECEPTOR_BINDING
GOMF_17_BETA_HYDROXYSTEROID_... SET 12 0.48463 0.013367 0.22979 0.017481 GOMF_17_BETA_HYDROXYSTEROID_DEHYDROGENASE_NADPLUS_ACTIVITY
KARAKAS_TGFB1_SIGNALING SET 18 0.50466 0.017045 0.24105 0.018157 KARAKAS_TGFB1_SIGNALING
REACTOME_S_PHASE SET 136 0.14674 0.013571 0.070177 0.018277 REACTOME_S_PHASE
GOBP_SKELETAL_MUSCLE_TISSUE_...2 SET 28 0.3618 0.015236 0.17438 0.019011 GOBP_SKELETAL_MUSCLE_TISSUE_REGENERATION
WP_TYPE_I_INTERFERON_INDUCTI... SET 26 0.37216 0.015103 0.18117 0.019985 WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION
GOBP_MULTICELLULAR_ORGANISM_...3 SET 727 0.067275 0.014111 0.033865 0.023494 GOBP_MULTICELLULAR_ORGANISM_REPRODUCTION
GOBP_OLIGOSACCHARIDE_LIPID_I... SET 17 0.42201 0.013852 0.21303 0.023808 GOBP_OLIGOSACCHARIDE_LIPID_INTERMEDIATE_BIOSYNTHETIC_PROCESS
HUTTMANN_B_CLL_POOR_SURVIVAL...1 SET 55 0.23835 0.014055 0.12073 0.024193 HUTTMANN_B_CLL_POOR_SURVIVAL_DN
REACTOME_SEMA4D_INDUCED_CELL... SET 18 0.43261 0.014611 0.22195 0.025648 REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE
ICHIBA_GRAFT_VERSUS_HOST_DIS...2 SET 109 0.16062 0.013311 0.082491 0.025772 ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP
GOMF_HSP70_PROTEIN_BINDING SET 41 0.24813 0.012639 0.12942 0.027617 GOMF_HSP70_PROTEIN_BINDING
GOBP_NEGATIVE_REGULATION_OF_...167 SET 28 0.32666 0.013756 0.17111 0.028138 GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
CASORELLI_ACUTE_PROMYELOCYTI...1 SET 559 0.072001 0.013317 0.037855 0.028596 CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN
GOBP_REGULATION_OF_ANAPHASE_... SET 5 0.73914 0.013162 0.39119 0.029427 GOBP_REGULATION_OF_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS
GOBP_PROTEIN_CATABOLIC_PROCE...1 SET 797 0.057738 0.012651 0.030946 0.031045 GOBP_PROTEIN_CATABOLIC_PROCESS
GOBP_OXIDATIVE_RNA_DEMETHYLA... SET 5 0.75942 0.013524 0.40749 0.031197 GOBP_OXIDATIVE_RNA_DEMETHYLATION
GOMF_OXIDATIVE_RNA_DEMETHYLA... SET 5 0.75942 0.013524 0.40749 0.031197 GOMF_OXIDATIVE_RNA_DEMETHYLASE_ACTIVITY
GOBP_REGULATION_OF_NEUTROPHI...2 SET 25 0.34351 0.01367 0.1865 0.032758 GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS
GOBP_NEGATIVE_REGULATION_OF_...592 SET 21 0.32862 0.011987 0.18047 0.034322 GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING
GOBP_NEGATIVE_REGULATION_OF_...344 SET 3 0.90327 0.01246 0.49868 0.035058 GOBP_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY
GOBP_UBIQUITIN_DEPENDENT_SMA... SET 3 0.74829 0.010323 0.41726 0.03647 GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS
REACTOME_TRANSPORT_AND_SYNTH... SET 5 0.63695 0.011343 0.35572 0.036692 REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS
GOBP_NEURAL_TUBE_DEVELOPMENT SET 132 0.13356 0.012172 0.076174 0.039776 GOBP_NEURAL_TUBE_DEVELOPMENT
MARTORIATI_MDM4_TARGETS_NEUR...1 SET 131 0.13849 0.012573 0.079756 0.041259 MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN
GOBP_NEGATIVE_REGULATION_OF_...252 SET 82 0.17048 0.012264 0.098389 0.041586 GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC
CREIGHTON_ENDOCRINE_THERAPY_...2 SET 378 0.078338 0.011985 0.045257 0.041742 CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2
