VARIABLE TYPE NGENES BETA BETA_STD SE P FULL_NAME
GOBP_POSITIVE_REGULATION_OF_...16 SET 8 0.90796 0.02045 0.29262 0.0009602 GOBP_POSITIVE_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT
GOBP_CYTOKINE_PRODUCTION_INV...1 SET 105 0.25336 0.02061 0.090508 0.0025644 GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_REGULATION_OF_ADIPOSE_T... SET 11 0.70692 0.018668 0.25282 0.0025901 GOBP_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT
GOBP_ENDOPLASMIC_RETICULUM_T...3 SET 5 0.99465 0.017712 0.35941 0.0028286 GOBP_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_FORMATION
REACTOME_ACTIVATION_OF_THE_P...2 SET 28 0.43777 0.018434 0.16272 0.0035746 REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX
MALIK_REPRESSED_BY_ESTROGEN SET 11 0.78716 0.020788 0.31206 0.0058329 MALIK_REPRESSED_BY_ESTROGEN
NIKOLSKY_BREAST_CANCER_12Q24... SET 12 0.82952 0.022879 0.33863 0.0071561 NIKOLSKY_BREAST_CANCER_12Q24_AMPLICON
GOBP_POSITIVE_REGULATION_OF_...194 SET 73 0.26249 0.017822 0.10755 0.0073348 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
REACTOME_ACTIVATION_OF_ATR_I... SET 36 0.32397 0.015465 0.13719 0.0091107 REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS
REACTOME_ORC1_REMOVAL_FROM_C... SET 58 0.24539 0.014858 0.10392 0.0091115 REACTOME_ORC1_REMOVAL_FROM_CHROMATIN
KEGG_TYPE_I_DIABETES_MELLITUS SET 35 0.38494 0.018119 0.166 0.010208 KEGG_TYPE_I_DIABETES_MELLITUS
