annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	2	0.00274725274725275	0.288870841347229	0.0552749978820653
UTR5	68533	0.00279438366924883	0	0	0	0.279264269782945
downstream	277044	0.0112962693777213	3	0.00412087912087912	0.364800004593232	0.0760326398184264
exonic	264904	0.0108012696295025	3	0.00412087912087912	0.3815180309566	0.102078136501222
intergenic	11376644	0.463874457625636	397	0.54532967032967	1.17559753800838	1.12186957417331e-05
intronic	8979212	0.366120896145261	283	0.388736263736264	1.06177021805942	0.204536166053836
ncRNA_exonic	257913	0.0105162166443461	2	0.00274725274725275	0.26123964921641	0.0419347098830544
ncRNA_intronic	2807030	0.114454624649316	36	0.0494505494505494	0.432053747081551	1.47672289261098e-09
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	1	0.00137362637362637	11.8956747260508	0.0806333483866303
upstream	256652	0.0104648002784068	1	0.00137362637362637	0.131261594782724	0.00918014757375103
