# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12635
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
DA0          COVAR   12635    -0.038199    -0.012495     0.082781      0.67776
DA1          COVAR   12635    -0.094686    -0.039095     0.064885      0.92774
DA2          COVAR   12635    -0.014793   -0.0058616     0.063621      0.59193
Endo         COVAR   12635    0.0071273    0.0031044     0.031853      0.41148
Epen         COVAR   12635   -0.0082274   -0.0035172     0.029248      0.61076
Gaba1a       COVAR   12635    -0.085652    -0.035172     0.067946      0.89626
Gaba1b       COVAR   12635     -0.12616    -0.052411     0.072663      0.95873
Gaba2        COVAR   12635    -0.011074   -0.0068036     0.045309      0.59654
Mgl          COVAR   12635     0.013508    0.0058659     0.032715      0.33985
NbDA         COVAR   12635    -0.011903   -0.0037263     0.091474      0.55176
NbL1         COVAR   12635     -0.11055    -0.050392     0.056166      0.97547
NbL2         COVAR   12635     0.063418     0.025793     0.045185     0.080246
NbM          COVAR   12635     0.027356     0.008633     0.072655      0.35327
NbML1        COVAR   12635   -0.0057575   -0.0020932     0.085198      0.52694
NbML2        COVAR   12635     0.050555     0.015179     0.098957      0.30472
NbML3        COVAR   12635    -0.021074    -0.010587     0.059988      0.63731
NbML4        COVAR   12635    -0.039631    -0.021218     0.053959      0.76866
NbML5        COVAR   12635       0.1462     0.044611      0.10252     0.076936
NProg        COVAR   12635    0.0057745    0.0023229     0.047402      0.45152
OMTN         COVAR   12635     -0.04711    -0.026011     0.059909      0.78416
Peric        COVAR   12635     0.075027      0.02719     0.043577     0.042577
Rgl1         COVAR   12635    0.0076829    0.0031987     0.048132      0.43659
Rgl2         COVAR   12635    0.0067051    0.0028279     0.048292      0.44479
Rgl3         COVAR   12635    -0.042397    -0.017511     0.042471      0.84091
RN           COVAR   12635    -0.033717    -0.018332     0.057895      0.71984
Sert         COVAR   12635      0.03246     0.017284      0.05523      0.27836
