annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	1	0.0099009900990099	1.04107907178605	0.619070326612664
UTR5	68533	0.00279438366924883	0	0	0	1
downstream	277044	0.0112962693777213	0	0	0	0.633668327043287
exonic	264904	0.0108012696295025	2	0.0198019801980198	1.8333011652568	0.297825856157173
intergenic	11376644	0.463874457625636	39	0.386138613861386	0.832420512734966	0.134318639843647
intronic	8979212	0.366120896145261	51	0.504950495049505	1.37919059077459	0.00505025486993115
ncRNA_exonic	257913	0.0105162166443461	5	0.0495049504950495	4.7074867482561	0.00442338036543327
ncRNA_intronic	2807030	0.114454624649316	0	0	0	1.08903278769747e-05
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	3	0.0297029702970297	2.83836953470762	0.0901005130029252
