ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000254706	NA	RP11-565P22.6	NA	NA	NA	NA
ENSG00000239887	400793	C1orf226	C1orf226	NA	A1L170	NA
ENSG00000171722	284680	C1orf111	C1orf111	NA	Q5T0L3	NA
ENSG00000143248	8490	RGS5	RGS5	603276	O15539	NA
ENSG00000225755	NA	RP11-267N12.2	NA	NA	NA	NA
ENSG00000232995	8490	RP11-267N12.3	NA	603276	NA	NA
ENSG00000237756	NA	RP11-77M5.1	NA	NA	NA	NA
ENSG00000143228	83540	NUF2	NUF2	611772	Q9BZD4	NA
ENSG00000225122	NA	RP11-408E1.1	NA	NA	NA	NA
ENSG00000200327	NA	RNA5SP62	RNA5SP62	NA	NA	NA
ENSG00000212527	NA	RNA5SP63	RNA5SP63	NA	NA	NA
ENSG00000228289	NA	RP4-640E24.1	NA	NA	NA	NA
ENSG00000225719	NA	NMNAT1P2	NMNAT1P2	NA	NA	NA
ENSG00000199849	NA	RNU5F-6P	RNU5F-6P	NA	NA	NA
ENSG00000213070	NA	HMGB3P6	HMGB3P6	NA	NA	NA
ENSG00000185630	5087	PBX1	PBX1	176310	P40424	NA
ENSG00000271917	NA	RP11-506O24.2	NA	NA	NA	NA
ENSG00000201987	NA	Y_RNA	NA	NA	NA	NA
ENSG00000224702	NA	RP11-38C18.2	NA	NA	NA	NA
ENSG00000238022	NA	RP11-38C18.3	NA	NA	NA	NA
ENSG00000143171	6258	RXRG	RXRG	180247	P48443	DB00210:DB00307:DB00412:DB00459:DB00523:DB00755:DB00926:DB01393:DB02746:DB03756
ENSG00000237463	400794	RP11-280O1.2	NA	NA	NA	NA
ENSG00000230748	NA	RP11-541H12.1	NA	NA	NA	NA
ENSG00000162763	440699	LRRC52	LRRC52	615218	Q8N7C0	NA
ENSG00000237783	NA	RP11-306I1.1	NA	NA	NA	NA
ENSG00000236206	NA	RP11-306I1.2	NA	NA	NA	NA
ENSG00000143198	4259	MGST3	MGST3	604564	O14880	DB00143
ENSG00000143149	223	ALDH9A1	ALDH9A1	602733	P49189	DB00157
