ensg	symbol	8_pcw	9_pcw	12_pcw	13_pcw	16_pcw	17_pcw	19_pcw	21_pcw	24_pcw	26_pcw	37_pcw	4_mos	10_mos	1_yrs	2_yrs	3_yrs	4_yrs	8_yrs	11_yrs	13_yrs	15_yrs	18_yrs	19_yrs	21_yrs	23_yrs	30_yrs	36_yrs	37_yrs	40_yrs
ENSG00000077327	SPAG6	-0.275015931224909	-0.389395202309174	-0.449357488130099	-0.462596021938425	-0.303086170772174	-0.0268325185349299	-0.0714956703344575	-0.0622134841634627	-0.169036994285277	-0.233155418069235	0.254422941930096	0.442230575923883	0.388454223536946	0.738240375963604	-0.220558610156847	-0.199789528236373	0.0239719358330345	0.248543768628337	0.384598321517786	0.215844443959291	0.300145964622654	-0.0631533607891189	0.358164871796059	0.133930191793657	0.151055812059458	0.209953723127662	0.214047363222384	0.159021265104805	0.379541857786804
ENSG00000085365	SCAMP1	0.0621639651967297	0.0585669134402843	0.877621108938139	0.444554559402219	0.17037852343293	-0.116219579404961	-0.569013736254151	0.19816980544687	0.648419850539305	-0.671586417407628	-0.459875870865296	0.0116948185396078	0.119927958358651	0.396998641447839	-2.23685298771193	-0.962766305319413	-0.217215198433396	0.31346943814976	0.460924733944171	-0.397003977528602	0.473076475419689	-1.21497910679926	-0.24269466776537	0.723871556026334	-0.347816066868822	-0.652392444354884	-0.221928534947419	-0.125266351133941	0.110614658608447
ENSG00000113231	PDE8B	-1.3041839345679	-1.24913554051421	-0.551145526734383	-0.679659759763881	-0.694421404244632	-0.807796787199909	-1.27488693836939	-0.60535512042031	-0.781794767457308	-0.0560956230193302	0.183034044222178	0.370568419398143	-0.0366661368478819	0.996003126647164	-0.82079312811659	0.0822890653155547	0.0714533458214718	0.565676950230481	0.985034126624006	0.63796659437931	0.87056608353012	0.310936762428866	0.952132590076157	1.02551227811658	0.56316694917126	0.789454593572039	0.971954301459852	0.98564612295058	0.927156650675697
ENSG00000113273	ARSB	0.601524243226062	0.877051587750861	0.365901331651402	0.280926539599831	0.396248836370838	0.374845259805127	-0.230115587238216	0.598849728748332	0.752113372770819	-0.123249828140168	-0.0199488505704405	0.178975878238196	-0.688963109834814	0.0310452565108657	-1.05742887729486	-0.386921719582557	-0.745092699663777	-0.20593525515375	-0.331967803427551	-0.160827876451503	-0.0726050152113439	-0.572045086365541	-0.196687064412867	-0.441790259130849	-0.201828544134475	-0.402060447274708	-0.397126101537016	-0.166879104619238	-0.819250228079789
ENSG00000132842	AP3B1	0.592370238347063	0.68265058374153	-0.306017024946473	-0.276289797575217	-0.35289631127337	-0.45767501586264	-0.750894627346723	-0.28762283441692	-0.181426987559	0.413826529449502	-0.132662986999612	-0.106279662440856	0.200328531028162	0.0237663395840045	-0.237049133326727	0.370660491329843	-0.378812965140858	0.340225248605582	0.175216105127564	0.220725534827389	0.375540655213798	0.160979416306603	0.047830568640444	0.53897276485978	0.670080625048077	-0.254494943782619	0.056000740660458	0.324468358377361	0.085017059885243
ENSG00000132846	ZBED3	-0.173665473261857	-0.0257040058058354	-0.087034892372606	-0.187835804736789	0.0767670444637227	0.0282478106232092	-0.439084476541195	0.0261650334999501	0.0688456861943864	0.263019501417154	0.426318779214612	-0.0730332000753542	-0.824807525448718	-0.247904144396065	-0.333206199541829	0.257564449521714	-0.47647714208094	-0.192598761429187	-0.166890298860195	0.185155444983876	0.26622783744162	0.352564533820446	0.46675635984975	0.0431529129304402	0.577671937180908	0.378732272643369	-0.138556472319539	0.344031952544961	-0.363694074613793
ENSG00000143149	ALDH9A1	0.328066605118524	0.172789959019646	-0.423976043482647	-0.40172983981699	-0.330876912516353	-0.243332663930028	-0.752528199264337	-0.204308860380905	0.149751852096179	0.824761696368193	0.598918381335488	0.406074056258547	0.00216836616732765	-0.420572648063775	0.0788757739285749	0.956643847153167	0.27132148729517	0.389019858989993	0.272126421924769	0.225205219190142	-0.02561297759239	0.663757938465478	-0.554757634869801	0.141084774937244	0.607636309740169	-0.743023879291229	-0.269098102256131	-0.10758146502808	-0.219406193560713
ENSG00000143157	POGK	0.478913510551183	0.522091746504832	0.56180493357913	0.507919339838412	0.62208188482254	0.369959638921199	-0.173439161917403	0.439791668514774	0.534923590690786	0.0384697408835247	-0.274968487717501	-0.453615488107182	-1.1520624784531	-0.17668129046089	-1.04265492600901	-0.1129946692413	-0.975553338874006	-0.510593247359626	-0.19592421610475	-0.177952328318383	-0.0265368957884657	-0.351922215989035	-0.134958179245414	-0.0981512482313711	-0.0743392204426001	-0.382634296412882	-0.392742821323422	-0.053228643681453	-0.441553643632424
ENSG00000143167	GPA33	-0.0286517199544847	-0.0479402686107278	-0.0663024673811329	-0.0664768028408449	-0.0356632969350819	-0.0491813403505043	-0.0563442039013871	-0.0720584851810617	-0.0374636828089796	-0.0519926476412314	0.02044436501209	0.0105940602905511	0.0275572349801783	0.066477930731446	-0.0543757294653965	-0.010216999576797	0.0167871998547289	0.0250770490990235	0.067776185081112	0.0690119038151097	0.028285734757809	-0.045526324729851	0.106900863657717	0.0546525815906743	-0.0310493130488484	0.168338580672104	0.0782785855930596	0.0797029158996796	0.0449512701598352
ENSG00000143171	RXRG	-0.155343582151018	-0.582653176099989	-0.797696764995269	-0.852587225098448	-0.188159776011669	0.169514610016204	-0.358246182871233	-0.567555422040452	-0.450753269663619	-0.0406140886727181	0.030541372259072	0.380574307190616	0.443046544646305	0.677217445901166	0.0620778615620101	0.876947840117382	1.18763198831587	0.683561662198247	0.307089416877852	0.409020783042265	-0.0943403337074484	0.749701352520611	0.185876055649861	-0.105472155878812	0.41593000113201	-0.0460850275751268	-0.021717035345996	0.125073683525945	0.313468911096155
