ensg	symbol	8_pcw	9_pcw	12_pcw	13_pcw	16_pcw	17_pcw	19_pcw	21_pcw	24_pcw	26_pcw	37_pcw	4_mos	10_mos	1_yrs	2_yrs	3_yrs	4_yrs	8_yrs	11_yrs	13_yrs	15_yrs	18_yrs	19_yrs	21_yrs	23_yrs	30_yrs	36_yrs	37_yrs	40_yrs
ENSG00000077327	SPAG6	0.237564279723032	0.123185008638767	0.0632227228178419	0.049984189009516	0.209494040175767	0.485747692413011	0.441084540613483	0.450366726784478	0.343543216662664	0.279424792878706	0.767003152878037	0.954810786871824	0.901034434484887	1.25082058691154	0.292021600791094	0.312790682711567	0.536552146780975	0.761123979576277	0.897178532465727	0.728424654907232	0.812726175570595	0.449426850158822	0.870745082744	0.646510402741598	0.663636023007399	0.722533934075603	0.726627574170325	0.671601476052746	0.892122068734745
ENSG00000085365	SCAMP1	4.41050057224522	4.40690352048877	5.22595771598663	4.79289116645071	4.51871513048142	4.23211702764353	3.77932287079434	4.54650641249536	4.99675645758779	3.67675018964086	3.88846073618319	4.36003142558809	4.46826456540714	4.74533524849633	2.11148361933656	3.38557030172907	4.13112140861509	4.66180604519825	4.80926134099266	3.95133262951988	4.82141308246818	3.13335750024923	4.10564193928312	5.07220816307482	4.00052054017966	3.6959441626936	4.12640807210107	4.22307025591455	4.45895126565693
ENSG00000113231	PDE8B	1.40745488391298	1.46250327796667	2.1604932917465	2.031979058717	2.01721741423625	1.90384203128098	1.4367518801115	2.10628369806057	1.92984405102358	2.65554319546155	2.89467286270306	3.08220723787903	2.674972681633	3.70764194512805	1.89084569036429	2.79392788379644	2.78309216430236	3.27731576871137	3.69667294510489	3.34960541286019	3.582204902011	3.02257558090975	3.66377140855704	3.73715109659747	3.27480576765214	3.50109341205292	3.68359311994074	3.69728494143147	3.63879546915658
ENSG00000113273	ARSB	2.59657897443884	2.87210631896364	2.36095606286418	2.27598127081261	2.39130356758361	2.3698999910179	1.76493914397456	2.59390445996111	2.74716810398359	1.87180490307261	1.97510588064233	2.17403060945097	1.30609162137796	2.02609998772364	0.937625853917917	1.60813301163022	1.249962031549	1.78911947605902	1.66308692778522	1.83422685476127	1.92244971600143	1.42300964484723	1.79836766679991	1.55326447208193	1.7932261870783	1.59299428393807	1.59792862967576	1.82817562659354	1.17580450313299
ENSG00000132842	AP3B1	2.25735658066804	2.34763692606251	1.35896931737451	1.38869654474576	1.31209003104761	1.20731132645834	0.914091714974257	1.37736350790406	1.48355935476198	2.07881287177048	1.53232335532137	1.55870667988012	1.86531487334914	1.68875268190498	1.42793720899425	2.03564683365082	1.28617337718012	2.00521159092656	1.84020244744854	1.88571187714837	2.04052699753478	1.82596575862758	1.71281691096142	2.20395910718076	2.33506696736906	1.41049139853836	1.72098708298144	1.98945470069834	1.75000340220622
ENSG00000132846	ZBED3	1.53906173177796	1.68702319923398	1.62569231266721	1.52489140030303	1.78949424950354	1.74097501566302	1.27364272849862	1.73889223853976	1.7815728912342	1.97574670645697	2.13904598425443	1.63969400496446	0.887919679591096	1.46482306064375	1.37952100549799	1.97029165456153	1.23625006295887	1.52012844361063	1.54583690617962	1.89788265002369	1.97895504248143	2.06529173886026	2.17948356488956	1.75588011797025	2.29039914222072	2.09145947768318	1.57417073272027	2.05675915758478	1.34903313042602
ENSG00000143149	ALDH9A1	4.52500239883047	4.3697257527316	3.7729597502293	3.79520595389496	3.8660588811956	3.95360312978192	3.44440759444761	3.99262693333105	4.34668764580813	5.02169749008014	4.79585417504744	4.6030098499705	4.19910415987928	3.77636314564817	4.27581156764052	5.15357964086512	4.46825728100712	4.58595565270194	4.46906221563672	4.42214101290209	4.17132281611956	4.86069373217743	3.64217815884215	4.33802056864919	4.80457210345212	3.45391191442072	3.92783769145582	4.08935432868387	3.97752960015124
ENSG00000143157	POGK	4.0136711839661	4.05684941991974	4.09656260699404	4.04267701325332	4.15683955823745	3.90471731233611	3.36131851149751	3.97454934192969	4.0696812641057	3.57322741429844	3.25978918569741	3.08114218530773	2.38269519496182	3.35807638295402	2.4921027474059	3.42176300417361	2.55920433454091	3.02416442605529	3.33883345731016	3.35680534509653	3.50822077762645	3.18283545742588	3.3997994941695	3.43660642518354	3.46041845297231	3.15212337700203	3.14201485209149	3.48152902973346	3.09320402978249
ENSG00000143167	GPA33	0.0514372002755484	0.0321486516193054	0.0137864528489003	0.0136121173891882	0.0444256232949513	0.0309075798795288	0.0237447163286461	0.00803043504897147	0.0426252374210535	0.0280962725888017	0.100533285242123	0.0906829805205842	0.107646155210211	0.146566850961479	0.0257131907646366	0.0698719206532362	0.096876120084762	0.105165969329057	0.147865105311145	0.149100824045143	0.108374654987842	0.0345625955001821	0.186989783887751	0.134741501820707	0.0490396071811847	0.248427500902137	0.158367505823093	0.159791836129713	0.125040190389868
ENSG00000143171	RXRG	1.62070173278873	1.19339213883976	0.978348549944482	0.923458089841303	1.58788553892808	1.94555992495596	1.41779913206852	1.2084898928993	1.32529204527613	1.73543122626703	1.80658668719882	2.15661962213037	2.21909185958606	2.45326276084092	1.83812317650176	2.65299315505713	2.96367730325562	2.459606977138	2.0831347318176	2.18506609798202	1.6817049812323	2.52574666746036	1.96192137058961	1.67057315906094	2.19197531607176	1.72996028736462	1.75432827959376	1.9011189984657	2.08951422603591
