ensg	entrez	symbol
ENSG00000254706	NA	RP11-565P22.6
ENSG00000239887	400793	C1orf226
ENSG00000171722	284680	C1orf111
ENSG00000143248	8490	RGS5
ENSG00000225755	NA	RP11-267N12.2
ENSG00000232995	8490	RP11-267N12.3
ENSG00000237756	NA	RP11-77M5.1
ENSG00000143228	83540	NUF2
ENSG00000225122	NA	RP11-408E1.1
ENSG00000200327	NA	RNA5SP62
ENSG00000212527	NA	RNA5SP63
ENSG00000228289	NA	RP4-640E24.1
ENSG00000225719	NA	NMNAT1P2
ENSG00000199849	NA	RNU5F-6P
ENSG00000213070	NA	HMGB3P6
ENSG00000185630	5087	PBX1
ENSG00000271917	NA	RP11-506O24.2
ENSG00000201987	NA	Y_RNA
ENSG00000224702	NA	RP11-38C18.2
ENSG00000238022	NA	RP11-38C18.3
ENSG00000143171	6258	RXRG
ENSG00000237463	400794	RP11-280O1.2
ENSG00000230748	NA	RP11-541H12.1
ENSG00000162763	440699	LRRC52
ENSG00000237783	NA	RP11-306I1.1
ENSG00000236206	NA	RP11-306I1.2
ENSG00000143198	4259	MGST3
ENSG00000143149	223	ALDH9A1
ENSG00000206990	NA	Y_RNA
ENSG00000230175	NA	RP11-466F5.3
ENSG00000225272	NA	RP11-466F5.4
ENSG00000215838	440700	RP11-466F5.6
ENSG00000273365	NA	RP11-466F5.10
ENSG00000143183	54499	TMCO1
ENSG00000230659	NA	RP11-466F5.9
ENSG00000143179	100500832	UCK2
ENSG00000236364	NA	RP11-525G13.2
ENSG00000271527	NA	RP11-7G12.2
ENSG00000188859	149297	FAM78B
ENSG00000230898	NA	RP11-9L18.3
ENSG00000215952	100126349	MIR921
ENSG00000215835	NA	RP11-9L18.2
ENSG00000229588	NA	RP11-479J7.2
ENSG00000225325	NA	RP11-479J7.1
ENSG00000230231	NA	FMO7P
ENSG00000234142	NA	RP11-276E17.2
ENSG00000215834	116123	FMO9P
ENSG00000232341	NA	RPL4P2
ENSG00000232223	NA	CNN2P10
ENSG00000143157	57645	POGK
ENSG00000225171	NA	DUTP6
ENSG00000143195	387597	ILDR2
ENSG00000143194	84944	MAEL
ENSG00000200036	NA	RNA5SP65
ENSG00000238325	NA	snoU13
ENSG00000227907	NA	RP11-102C16.3
ENSG00000143167	10223	GPA33
ENSG00000198842	92235	DUSP27
ENSG00000145703	10788	IQGAP2
ENSG00000225407	NA	CTD-2384B11.2
ENSG00000181104	2149	F2R
ENSG00000252684	NA	RNU6ATAC36P
ENSG00000145708	1393	CRHBP
ENSG00000164252	55109	AGGF1
ENSG00000132846	84327	ZBED3
ENSG00000250615	NA	CTC-564N23.2
ENSG00000238961	677828	SNORA47
ENSG00000250802	NA	ZBED3-AS1
ENSG00000222316	NA	AC008581.1
ENSG00000251566	NA	HMGB1P35
ENSG00000113231	8622	PDE8B
ENSG00000251400	NA	ALDH7A1P1
ENSG00000164253	55255	WDR41
ENSG00000244019	NA	RPS2P24
ENSG00000244363	NA	RPL7P23
ENSG00000213763	NA	ACTBP2
ENSG00000253572	NA	RP11-107N7.1
ENSG00000132842	8546	AP3B1
ENSG00000253558	NA	CTD-2179L22.1
ENSG00000222085	NA	AC024568.1
ENSG00000249372	NA	ATP6V1G1P6
ENSG00000251605	NA	CTD-2037K23.1
ENSG00000200331	NA	RNU6-183P
ENSG00000206714	NA	Y_RNA
ENSG00000245556	728769	CTD-2037K23.2
ENSG00000085365	9522	SCAMP1
ENSG00000113273	411	ARSB
ENSG00000214890	NA	CTD-2299I21.1
ENSG00000228219	NA	NPM1P30
ENSG00000148444	23412	COMMD3
ENSG00000269897	100532731	COMMD3-BMI1
ENSG00000168283	648	BMI1
ENSG00000272516	NA	RP11-573G6.9
ENSG00000271981	NA	RP11-573G6.8
ENSG00000272366	NA	RP11-573G6.10
ENSG00000077327	9576	SPAG6
ENSG00000165309	219681	ARMC3
ENSG00000148450	22921	MSRB2
ENSG00000252049	NA	SNORA40
ENSG00000168267	256297	PTF1A
ENSG00000204566	NA	C10orf115
ENSG00000227537	NA	RP11-215C7.3
ENSG00000179133	256815	C10orf67
ENSG00000224215	NA	RP11-371A19.2
ENSG00000264574	100616217	MIR1254-2
ENSG00000238515	NA	snoU13
ENSG00000165312	220213	OTUD1
ENSG00000223928	NA	RP11-183E9.2
ENSG00000207930	693188	MIR603
ENSG00000269879	NA	AL353583.1
ENSG00000151023	219670	ENKUR
ENSG00000185875	79896	THNSL1
ENSG00000231422	NA	RP11-80K21.3
