ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000252290	SNORA25	1	237718340	237718471	-1	snoRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs71714702	1
ENSG00000237250	RP11-193H5.1	1	238025475	238091621	1	antisense	100130331	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs71714702	1
ENSG00000116996	ZP4	1	238045705	238054094	-1	protein_coding	57829	ZP4	3.78719861366908e-10	-0.011566148	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	NA	rs71714702	1
ENSG00000243781	RP11-193H5.2	1	238090131	238090905	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:hESC	NA	rs71714702	1
ENSG00000270188	MTRNR2L11	1	238107024	238108575	-1	protein_coding	NA	MTRNR2L11	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:hESC	NA	rs71714702	1
ENSG00000232154	RP11-193H5.5	1	238111317	238112443	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:hESC	NA	rs71714702	1
ENSG00000225723	MTND6P15	1	238112514	238113034	1	pseudogene	NA	MTND6P15	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:hESC	NA	rs71714702	1
ENSG00000227860	MTND5P18	1	238113036	238114836	-1	pseudogene	NA	MTND5P18	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:hESC	NA	rs71714702	1
ENSG00000230019	YWHAQP9	1	238271036	238271867	-1	pseudogene	NA	YWHAQP9	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesendoderm:hESC	NA	rs71714702	1
ENSG00000232989	RP11-136B18.1	1	238431794	238431895	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:hESC	0.01003	rs71714702	1
ENSG00000234464	RP11-136B18.2	1	238439337	238450316	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:hESC	0.01003	rs71714702	1
ENSG00000252371	RNU6-725P	1	238488987	238489088	-1	snRNA	NA	RNU6-725P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01003	rs71714702	1
ENSG00000215808	LINC01139	1	238643684	238649323	-1	lincRNA	339535	LINC01139	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:hESC	0.01003	rs71714702	1
ENSG00000231877	RP11-177F15.1	1	238648745	238701605	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:hESC	0.01003	rs71714702	1
ENSG00000215149	KRT18P32	1	238654658	238655944	1	pseudogene	NA	KRT18P32	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:hESC	0.01003	rs71714702	1
ENSG00000224783	MIPEPP2	1	238940349	238942500	-1	pseudogene	NA	MIPEPP2	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesendoderm:hESC	NA	rs71714702	1
ENSG00000259776	RP11-544D21.2	1	239411108	239414118	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01003	rs71714702	1
ENSG00000227185	RP11-544D21.1	1	239433025	239439761	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01003	rs71714702	1
ENSG00000133019	CHRM3	1	239549865	240078750	1	protein_coding	1131	CHRM3	0.937026128208817	0.902536112	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01003	rs71714702	1
ENSG00000233355	CHRM3-AS2	1	239866684	239893765	-1	processed_transcript	NA	CHRM3-AS2	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	0.01003	rs71714702	1
ENSG00000234601	CHRM3-AS1	1	240061316	240063172	-1	antisense	100873984	CHRM3-AS1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.003965	rs71714702	1
ENSG00000231979	RP11-35L17.3	1	240078739	240080255	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.003965	rs71714702	1
ENSG00000215805	RP11-438O11.1	1	240136087	240137545	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	0.01003	rs71714702	1
ENSG00000217327	RPS7P5	1	240175946	240176526	1	pseudogene	645884	RPS7P5	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs71714702	1
ENSG00000155816	FMN2	1	240177648	240638489	1	protein_coding	56776	FMN2	0.994502609230201	-0.34295878	9	15.37	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs71714702	1
ENSG00000228818	RP11-567G24.1	1	240305970	240308689	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000202041	Y_RNA	1	240317951	240318072	-1	misc_RNA	NA	NA	NA	NA	1	0.449	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
