# MEAN_SAMPLE_SIZE = 54887
# TOTAL_GENES = 15564
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                          TYPE  NGENES         BETA     BETA_STD           SE            P
CD14+_Monocyte                   COVAR   15564      0.11136    0.0097683      0.20575      0.29417
CD19+_B                          COVAR   15564     -0.21424    -0.019123      0.27918      0.77856
CD34+                            COVAR   15564      0.18509     0.017279      0.13344     0.082724
CD4+.CD25_T_Reg                  COVAR   15564     -0.50988    -0.052017      0.32345      0.94252
CD4+.CD45RA+.CD25._Naive_T       COVAR   15564     -0.25325     -0.02518      0.27657      0.82007
CD4+.CD45RO+_Memory              COVAR   15564     -0.60969    -0.064068       0.3118      0.97472
CD4+_T_Helper2                   COVAR   15564     -0.62237    -0.065838       0.3577      0.95905
CD56+_NK                         COVAR   15564      -0.4994    -0.044164      0.24586      0.97887
CD8+.CD45RA+_Naive_Cytotoxic     COVAR   15564      -0.2931    -0.027691      0.27789      0.85422
CD8+_Cytotoxic_T                 COVAR   15564      -1.0853     -0.10124      0.34041      0.99928
Dendritic                        COVAR   15564      0.24747     0.032962      0.15447     0.054583
