Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
GSE89232_Human_Blood	CB_pre_cDC	12300	0.0025279	0.0026565	0.032889	0.46937	0.46937	1
GSE89232_Human_Blood	Blood_pre_cDC	12300	NA	NA	NA	NA	NA	NA
GSE89232_Human_Blood	CD141_cDC	12300	NA	NA	NA	NA	NA	NA
GSE89232_Human_Blood	CD1c_cDC	12300	NA	NA	NA	NA	NA	NA
Allen_Human_LGN_level1	GABAergic	14934	0.01688	0.03724	0.012559	0.089474	0.268422	1
Allen_Human_LGN_level1	Non.Neuronal	14934	-0.0038933	-0.0061775	0.0098564	0.65357	1	1
Allen_Human_LGN_level1	Glutamatergic	14934	-0.0082776	-0.020316	0.011269	0.76868	1	1
Allen_Human_LGN_level2	LGN_Inh_CTXN3	14934	0.017184	0.039649	0.0095186	0.035524	0.426288	1
Allen_Human_LGN_level2	LGN_Inh_NTRK1	14934	0.0080051	0.019123	0.0089819	0.1864	1	1
Allen_Human_LGN_level2	Astro_LGR6	14934	0.0046671	0.0086094	0.0067802	0.24562	1	1
Allen_Human_LGN_level2	Micro_C1QB	14934	0.0039054	0.0052464	0.0078328	0.30904	1	1
Allen_Human_LGN_level2	OPC_PDGFRA	14934	0.0030671	0.0052997	0.0080878	0.35226	1	1
Allen_Human_LGN_level2	LGN_Inh_LAMP5	14934	-0.00086257	-0.0019433	0.0074598	0.54603	1	1
Allen_Human_LGN_level2	LGN_Exc_PRKCG_GRB14	14934	-0.0016106	-0.0039313	0.0087613	0.57293	1	1
Allen_Human_LGN_level2	Astro_CPAMD8	14934	-0.0040003	-0.0067223	0.0075239	0.70252	1	1
Allen_Human_LGN_level2	LGN_Inh_TRPC4	14934	-0.0060751	-0.013792	0.010705	0.71481	1	1
Allen_Human_LGN_level2	LGN_Exc_BTNL9	14934	-0.0055355	-0.013676	0.0089716	0.73138	1	1
Allen_Human_LGN_level2	Oligo_MAG	14934	-0.004842	-0.0087875	0.0068994	0.75859	1	1
Allen_Human_LGN_level2	LGN_Exc_PRKCG_BCHE	14934	-0.015666	-0.038491	0.0089147	0.96056	1	1
Allen_Human_MTG_level1	GABAergic	14934	0.019561	0.039748	0.017365	0.13	0.39	1
Allen_Human_MTG_level1	Non.neuronal	14934	-0.0019693	-0.0028855	0.011422	0.56844	1	1
Allen_Human_MTG_level1	Glutamatergic	14934	-0.010138	-0.023211	0.013658	0.77104	1	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_GGH	14934	0.027132	0.054103	0.011264	0.0080114	0.600855	1
Allen_Human_MTG_level2	Inh_L3.6_VIP_HS3ST3A1	14934	0.027988	0.059406	0.011857	0.0091349	0.6851175	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_CHRM2	14934	0.027788	0.056718	0.012238	0.011591	0.869325	1
Allen_Human_MTG_level2	Inh_L1.2_SST_BAGE2	14934	0.021107	0.041819	0.011921	0.038324	1	1
Allen_Human_MTG_level2	Micro_L1.3_TYROBP	14934	0.011463	0.015795	0.0070189	0.051228	1	1
Allen_Human_MTG_level2	Inh_L1.4_VIP_PENK	14934	0.015418	0.03447	0.0095483	0.053199	1	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_ADAMTSL1	14934	0.018306	0.03933	0.01202	0.063894	1	1
Allen_Human_MTG_level2	Inh_L2.4_VIP_CBLN1	14934	0.016894	0.033989	0.011459	0.070215	1	1
Allen_Human_MTG_level2	Inh_L5.6_SST_TH	14934	0.012776	0.029061	0.0098858	0.098134	1	1
Allen_Human_MTG_level2	Inh_L1.4_VIP_OPRM1	14934	0.013546	0.027709	0.011549	0.12043	1	1
Allen_Human_MTG_level2	Inh_L1.2_VIP_PCDH20	14934	0.013366	0.027505	0.011562	0.12384	1	1
Allen_Human_MTG_level2	Inh_L2.5_VIP_SERPINF1	14934	0.012625	0.02588	0.011052	0.12667	1	1
Allen_Human_MTG_level2	Inh_L1.3_VIP_CCDC184	14934	0.012928	0.028218	0.011354	0.12744	1	1
Allen_Human_MTG_level2	Inh_L1_SST_CHRNA4	14934	0.011896	0.024695	0.010504	0.12871	1	1
Allen_Human_MTG_level2	Inh_L5.6_GAD1_GLP1R	14934	0.0112	0.025477	0.010116	0.13413	1	1
Allen_Human_MTG_level2	Inh_L2.6_VIP_QPCT	14934	0.011236	0.023713	0.01034	0.1386	1	1
Allen_Human_MTG_level2	Inh_L4.5_SST_STK32A	14934	0.011358	0.02268	0.011302	0.15747	1	1
Allen_Human_MTG_level2	Inh_L1_SST_NMBR	14934	0.010927	0.022846	0.011581	0.17271	1	1
Allen_Human_MTG_level2	Inh_L1.2_VIP_LBH	14934	0.010722	0.023755	0.011824	0.18226	1	1
Allen_Human_MTG_level2	Inh_L2.5_VIP_TYR	14934	0.01013	0.021133	0.011175	0.18236	1	1
Allen_Human_MTG_level2	Inh_L1.2_LAMP5_DBP	14934	0.005409	0.011762	0.0089641	0.27313	1	1
Allen_Human_MTG_level2	Inh_L2.4_VIP_SPAG17	14934	0.0063661	0.013252	0.010846	0.27862	1	1
Allen_Human_MTG_level2	Inh_L5.6_SST_KLHDC8A	14934	0.0055264	0.012438	0.010826	0.30487	1	1
Allen_Human_MTG_level2	Astro_L1.2_FGFR3_GFAP	14934	0.0032241	0.005267	0.0066795	0.31466	1	1
Allen_Human_MTG_level2	Inh_L4.6_SST_B3GAT2	14934	0.0056753	0.011737	0.012688	0.32733	1	1
Allen_Human_MTG_level2	Inh_L3.6_SST_NPY	14934	0.0034098	0.0078413	0.008686	0.34733	1	1
Allen_Human_MTG_level2	Exc_L4.6_FEZF2_IL26	14934	0.0037591	0.0086386	0.010432	0.3593	1	1
Allen_Human_MTG_level2	Inh_L1.2_GAD1_MC4R	14934	0.003485	0.0070333	0.010951	0.37515	1	1
Allen_Human_MTG_level2	Inh_L1.4_VIP_CHRNA6	14934	0.0031901	0.0068818	0.010189	0.3771	1	1
Allen_Human_MTG_level2	Exc_L3.5_RORB_ESR1	14934	0.0034645	0.0076904	0.011579	0.3824	1	1
Allen_Human_MTG_level2	OPC_L1.6_PDGFRA	14934	0.0020367	0.0034423	0.0079806	0.39929	1	1
Allen_Human_MTG_level2	Inh_L4.6_SST_GXYLT2	14934	0.0027351	0.0061344	0.011082	0.40253	1	1
Allen_Human_MTG_level2	Endo_L2.6_NOSTRIN	14934	0.0013602	0.0019819	0.0066138	0.41853	1	1
Allen_Human_MTG_level2	Exc_L5.6_SLC17A7_IL15	14934	0.0019532	0.0045968	0.010165	0.42381	1	1
Allen_Human_MTG_level2	Inh_L2.4_SST_FRZB	14934	0.0016893	0.0036407	0.011614	0.44218	1	1
Allen_Human_MTG_level2	Inh_L1.2_VIP_TSPAN12	14934	0.0012748	0.0026858	0.010795	0.453	1	1
Allen_Human_MTG_level2	Inh_L2.6_LAMP5_CA1	14934	0.00064268	0.001415	0.011106	0.47693	1	1
Allen_Human_MTG_level2	Exc_L5.6_RORB_TTC12	14934	-0.00028849	-0.00069522	0.010697	0.51076	1	1
Allen_Human_MTG_level2	Inh_L4.5_PVALB_MEPE	14934	-0.00030115	-0.00070183	0.010521	0.51142	1	1
Allen_Human_MTG_level2	Inh_L3.5_SST_ADGRG6	14934	-0.0010561	-0.0022024	0.012086	0.53482	1	1
Allen_Human_MTG_level2	Astro_L1.6_FGFR3_SLC14A1	14934	-0.00072352	-0.0013275	0.0061538	0.5468	1	1
Allen_Human_MTG_level2	Exc_L3.5_RORB_TWIST2	14934	-0.0023856	-0.0052849	0.011044	0.58551	1	1
Allen_Human_MTG_level2	Exc_L5.6_FEZF2_ABO	14934	-0.002427	-0.0057804	0.010369	0.59253	1	1
Allen_Human_MTG_level2	Inh_L5.6_SST_MIR548F2	14934	-0.0029633	-0.0067693	0.011463	0.60199	1	1
Allen_Human_MTG_level2	Inh_L1.3_SST_CALB1	14934	-0.0035276	-0.0068935	0.012648	0.60984	1	1
Allen_Human_MTG_level2	Inh_L4.6_PVALB_SULF1	14934	-0.0036442	-0.0079282	0.012202	0.6174	1	1
Allen_Human_MTG_level2	Inh_L2.3_VIP_CASC6	14934	-0.0042795	-0.0098454	0.010917	0.65247	1	1
Allen_Human_MTG_level2	Exc_L4.6_RORB_C1R	14934	-0.0046046	-0.010566	0.011223	0.65919	1	1
Allen_Human_MTG_level2	Inh_L2.4_PVALB_WFDC2	14934	-0.0049877	-0.011252	0.01155	0.66707	1	1
Allen_Human_MTG_level2	Inh_L5.6_PVALB_LGR5	14934	-0.0047159	-0.010253	0.010629	0.67136	1	1
Allen_Human_MTG_level2	Inh_L2.5_PVALB_SCUBE3	14934	-0.0044557	-0.0097664	0.0094694	0.68101	1	1
Allen_Human_MTG_level2	Inh_L1.2_PAX6_CDH12	14934	-0.0052897	-0.011249	0.01103	0.68423	1	1
Allen_Human_MTG_level2	Exc_L5.6_FEZF2_EFTUD1P1	14934	-0.0060215	-0.014569	0.010193	0.72265	1	1
Allen_Human_MTG_level2	Exc_L6_FEZF2_SCUBE1	14934	-0.0065661	-0.015699	0.0091786	0.7628	1	1
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_CRABP1	14934	-0.0071096	-0.017053	0.0090606	0.78367	1	1
Allen_Human_MTG_level2	Inh_L1.3_PAX6_SYT6	14934	-0.0086453	-0.019927	0.01075	0.78935	1	1
Allen_Human_MTG_level2	Exc_L3.5_RORB_COL22A1	14934	-0.0090379	-0.019655	0.010607	0.80291	1	1
